year,month,day,TM,TX,TN,HRM,HRX,HRN,PM,PX,PN,PPT,RS24h,VVM10,DVM10,VVX10,DVVX10
2020,5,2,19.7,24.125,16.975,68.5,83.25,52.25,996.1666666666666,997.8000000000001,994.3666666666667,0.0,27.03333333333333,2.1,101.0,9.1,328.6666666666667
2020,5,3,19.225,23.025,15.65,73.25,88.5,59.0,997.8000000000001,999.4666666666667,996.7666666666668,0.0,28.03333333333333,1.9666666666666668,119.33333333333333,6.6000000000000005,177.66666666666666
2020,5,4,20.55,26.025,16.125,66.0,87.5,37.75,995.5,996.9,994.0666666666666,0.0,27.266666666666666,2.3333333333333335,216.66666666666666,9.366666666666667,226.0
2020,5,5,19.65,25.0,17.2,71.5,85.75,51.75,993.9333333333334,995.2666666666668,992.1333333333333,0.0,17.266666666666666,2.2333333333333334,148.0,8.6,151.66666666666666
2020,5,6,21.025,25.625,16.725,63.25,85.75,43.25,996.1333333333333,998.6666666666666,994.0333333333333,0.0,26.7,2.1999999999999997,215.0,7.033333333333334,196.66666666666666
2020,5,7,19.85,23.775,16.65,65.75,90.0,44.25,998.9333333333334,1000.1333333333333,997.9333333333334,0.0,25.3,2.9,73.0,7.8999999999999995,72.66666666666667
2020,5,8,19.4,23.95,15.8,72.75,90.75,48.25,996.9,998.8000000000001,994.3000000000001,0.0,26.900000000000002,2.5,85.0,7.366666666666667,98.33333333333333
2020,5,9,17.975,19.525,16.675,84.5,97.5,72.5,991.8333333333334,994.9333333333334,988.8333333333334,0.3333333333333333,6.3,2.966666666666667,74.33333333333333,10.433333333333332,79.33333333333333
2020,5,10,17.025,19.775,14.225000000000001,90.0,99.5,71.0,983.6,988.9333333333334,980.0,6.6000000000000005,7.533333333333334,3.533333333333333,186.33333333333334,13.433333333333332,201.66666666666666
2020,5,11,19.025,24.55,13.775,61.75,87.0,39.5,983.9333333333334,988.2666666666668,981.2666666666668,0.0,24.96666666666667,4.066666666666666,258.3333333333333,14.200000000000001,280.6666666666667
2020,5,12,16.825,19.25,14.75,76.25,87.5,61.25,988.9666666666666,991.5666666666666,984.3000000000001,0.3,18.066666666666666,3.466666666666667,71.66666666666667,10.466666666666667,76.33333333333333
2020,5,13,18.475,23.55,14.275,68.0,94.5,44.5,983.9666666666667,986.5333333333333,982.8666666666667,1.3,25.133333333333336,3.6,272.0,10.9,210.33333333333334
2020,5,14,15.625,17.975,13.05,88.25,98.25,68.0,984.9333333333334,987.6,983.4,8.200000000000001,6.3999999999999995,2.8000000000000003,73.33333333333333,9.533333333333333,136.66666666666666
2020,5,15,17.125,21.2,13.225,74.5,92.5,51.5,992.5,996.0333333333333,987.3666666666667,0.13333333333333333,24.599999999999998,2.533333333333333,77.0,7.366666666666667,176.0
